Archive:  /mnt/data/openpatch_agent_gateway_v16_candidate.zip
    testing: openpatch_agent_gateway_v16_candidate/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/.github/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/.github/workflows/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/.github/workflows/apply-ai-patch.yml   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/.gitignore   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/README.md   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/content.css   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/manifest.json   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/package.json   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/pages/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/pages/about.html   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/pages/options.html   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/pages/popup.html   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/pages/submit.html   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/background.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/content-script.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/downloads.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/github.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/options.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/page-bridge.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/popup.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/storage.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/submit.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/uploader.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/src/utils.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/styles.css   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/test/   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/test/github.test.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/test/uploader.test.js   OK
    testing: openpatch_agent_gateway_v16_candidate/openpatch-main/test/utils.test.js   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/00_DECISION_SUMMARY.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/01_V3_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/02_AGENT_API_SPEC_V3.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/03_ROUTE_PROFILE_RESOLVER_PLAN.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/04_LOCAL_BRIDGE_MVP.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/05_AUTO_CONTINUE_INTEGRATION.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/06_CODEX_CONTROL_WORKFLOW.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/07_MULTI_CONTEXT_FAILURES.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/08_NEXT_ITERATION_TASKS.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/09_V4_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/10_V4_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/11_V5_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/12_V5_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/13_V5_MULTI_KEY_MULTI_REPO_PLAN.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/14_V6_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/15_V6_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/16_V6_AUTO_CONTINUE_BRIDGE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/17_V6_MULTI_PAGE_RELIABILITY.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/18_V7_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/19_V7_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/20_V8_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/21_V8_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/22_V8_FAILURE_MODES_AND_PREVENTION.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/23_V9_IMPLEMENTATION_REPORT.md.bak   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/24_V9_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/25_V9_ROUTE_CONFLICT_AND_REAL_SMOKE_PLAN.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/26_V10_IMPLEMENTATION_REPORT.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/27_V10_AGENT_API_QUICK_REFERENCE.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/28_V10_MULTI_BROWSER_ROUTE_PREVENTION.md   OK
    testing: openpatch_agent_gateway_v16_candidate/docs/29_V11_IMPLEMENTATION_REPORT.md   OK
